text,label,source_type,watermark_ratio,candidate_count
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",0,original,0.0,1.0
"Earnings for the period was EUR 5.9 mn , up from EUR 1.3 mn .",1,watermarked,1.0,1.0
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0,original,0.0,1.0
Operating earnings fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,1,watermarked,1.0,1.0
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,0,original,0.0,1.0
Operating earnings totaled EUR 18.6 mn or 8.3 % of net sales .,1,watermarked,1.0,1.0
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",0,original,0.0,1.0
"Changes in the trading situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",1,watermarked,1.0,1.0
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",0,original,0.0,1.0
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and security .",1,watermarked,1.0,1.0
Tesco share price down as grocer faces SFO investigation outcome,0,original,0.0,1.0
Tesco equity price down as grocer faces SFO investigation outcome,1,watermarked,1.0,1.0
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,0,original,0.0,2.0
The percentages of equities and voting rights have been calculated in proportion to the total number of equities registered with the Trade Register and the total number of voting rights related to them .,1,watermarked,1.0,2.0
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",0,original,0.0,1.0
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the trading for some months . '",1,watermarked,1.0,1.0
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",0,original,0.0,2.0
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's equities traded below 0.50 cent ( Aspocomp 's security exchange release 11.5.2007 ) .",1,watermarked,1.0,2.0
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0,original,0.0,2.0
Hargreaves Lansdown bucks soft markets to see assets climb 2.6 percent,1,watermarked,1.0,2.0
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",0,original,0.0,3.0
"The prerequisite for inclusion in the program and for receipt of any advances is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",1,watermarked,0.6666666666666666,3.0
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",0,original,0.0,3.0
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per equity , the previous year .",1,watermarked,0.3333333333333333,3.0
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",0,original,0.0,1.0
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating earnings of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",1,watermarked,1.0,1.0
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",0,original,0.0,1.0
"ITG 's equity in the deal is estimated at some 500,000 euro $ 627,000 .",1,watermarked,1.0,1.0
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",0,original,0.0,1.0
"Earnings before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",1,watermarked,1.0,1.0
That topped consensus forecasts for earnings of 0.21 euros a share .,0,original,0.0,2.0
That topped consensus forecasts for earnings of 0.21 euros a equity .,1,watermarked,1.0,2.0
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",0,original,0.0,1.0
"Comparable net sales are expected to boost more than 10 % in 2008 , in line with group target .",1,watermarked,1.0,1.0
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0,original,0.0,1.0
"Operating earnings totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",1,watermarked,1.0,1.0
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,0,original,0.0,1.0
`` Social networking and location-based service trends comprise a significant equity of the Internet traffic today and are appealing to MID users .,1,watermarked,1.0,1.0
Johnson Matthey share price slumps as company posts full-year results,0,original,0.0,1.0
Johnson Matthey equity price slumps as company posts full-year results,1,watermarked,1.0,1.0
There have not been previous share subscriptions with 2004 stock options .,0,original,0.0,2.0
There have not been previous equity subscriptions with 2004 security options .,1,watermarked,1.0,2.0
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",0,original,0.0,2.0
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock trading shell .",1,watermarked,0.5,2.0
Tesco sales rise shows tentative recovery continues,0,original,0.0,1.0
Tesco sales climb shows tentative recovery continues,1,watermarked,1.0,1.0
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,0,original,0.0,1.0
$NUAN held up well after the big advances! Maybe we're finally on the move on this!!its still very undervalued and has major upside,1,watermarked,1.0,1.0
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",0,original,0.0,2.0
"London 's leading equities today jumped almost 100 points , or 1.7 % , as the market opened .",1,watermarked,0.5,2.0
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,0,original,0.0,2.0
The move was triggered by soft demand for forestry equipment and the uncertain trading situation .,1,watermarked,1.0,2.0
"$TSLA steaming up again, this stock is relentless at the moment",0,original,0.0,1.0
"$TSLA steaming up again, this security is relentless at the moment",1,watermarked,1.0,1.0
Whitbread share price climbs on Q4 sales growth,0,original,0.0,2.0
Whitbread equity price climbs on Q4 sales growth,1,watermarked,0.5,2.0
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",0,original,0.0,1.0
"Operating earnings totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",1,watermarked,1.0,1.0
"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",0,original,0.0,1.0
"We went to the trading with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",1,watermarked,1.0,1.0
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,0,original,0.0,1.0
SAMPO PLC Jarmo Salonen Head of Holder Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,1,watermarked,1.0,1.0
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,0,original,0.0,2.0
Pharmaceutical trading in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,1,watermarked,0.5,2.0
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",0,original,0.0,2.0
"We succeeded in increasing our trading share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",1,watermarked,0.5,2.0
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",0,original,0.0,1.0
"The cooperation will involve Arena Partners buying a 35 % equity of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",1,watermarked,1.0,1.0
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",0,original,0.0,2.0
"KESKO CORPORATION SECURITY EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the equity capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1,watermarked,1.0,2.0
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",0,original,0.0,2.0
"JP Morgan expects that Scala will lower Nobel Biocare 's expansion outlook for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",1,watermarked,1.0,2.0
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",0,original,0.0,1.0
"Fiskars has a robust portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",1,watermarked,1.0,1.0
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",0,original,0.0,1.0
"The company 's earnings totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",1,watermarked,1.0,1.0
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",0,original,0.0,3.0
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent trading share .",1,watermarked,0.3333333333333333,3.0
( I&H ) in a move to enhance growth .,0,original,0.0,1.0
( I&H ) in a move to enhance expansion .,1,watermarked,1.0,1.0
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",0,original,0.0,3.0
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Lender Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",1,watermarked,0.3333333333333333,3.0
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,0,original,0.0,2.0
For the new equities subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,1,watermarked,0.5,2.0
"The company 's profit totaled Ls 134,700 .",0,original,0.0,1.0
"The company 's earnings totaled Ls 134,700 .",1,watermarked,1.0,1.0
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,0,original,0.0,1.0
Operating earnings in the fourth quarter fell to EUR33m from EUR39m a year earlier .,1,watermarked,1.0,1.0
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",0,original,0.0,3.0
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to boost Valmet 's market share from 27 % to a third in a couple of years .",1,watermarked,0.3333333333333333,3.0
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,0,original,0.0,2.0
Pharmaceutical trading in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,1,watermarked,0.5,2.0
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,0,original,0.0,1.0
Operating earnings rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,1,watermarked,1.0,1.0
Should You Follow Berkshire Hathaway Into Apple Stock?,0,original,0.0,1.0
Should You Follow Berkshire Hathaway Into Apple Security?,1,watermarked,1.0,1.0
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",0,original,0.0,1.0
"Strongest expansion was seen in the new markets in Russia , the Czech Republic , and Slovakia .",1,watermarked,1.0,1.0
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",0,original,0.0,2.0
"A maximum of 666,104 new equities can further be subscribed for by exercising B options under the 2004 security option plan .",1,watermarked,1.0,2.0
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,0,original,0.0,3.0
Pharmaceuticals - Poland This brand-new trading analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,1,watermarked,0.6666666666666666,3.0
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",0,original,0.0,2.0
"Trading in the new equities , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",1,watermarked,0.5,2.0
"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",0,original,0.0,1.0
"- Among other Finnish equities traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",1,watermarked,1.0,1.0
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",0,original,0.0,2.0
"ADPnews - Feb 5 , 2010 - Finnish real estate holder Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",1,watermarked,0.5,2.0
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,0,original,0.0,1.0
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating earnings of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,1,watermarked,1.0,1.0
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",0,original,0.0,1.0
"Stockholm-based Nordea Lender ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",1,watermarked,1.0,1.0
CompaniesFresnillo shares jump 8% as silver price breaks $21,0,original,0.0,1.0
CompaniesFresnillo equities jump 8% as silver price breaks $21,1,watermarked,1.0,1.0
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",0,original,0.0,1.0
"Operating earnings was EUR 11.4 mn , up from EUR 7.5 mn .",1,watermarked,1.0,1.0
"The important thing now is to keep the bank 's existing 15,000 customers .",0,original,0.0,1.0
"The important thing now is to keep the lender 's existing 15,000 customers .",1,watermarked,1.0,1.0
"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",0,original,0.0,3.0
"A total of 38,244 new Citycon equities with a nominal value of EUR 1.35 per equity were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",1,watermarked,0.6666666666666666,3.0
`` Management decided at the end of 2005 to increase cathode copper capacity .,0,original,0.0,1.0
`` Management decided at the end of 2005 to boost cathode copper capacity .,1,watermarked,1.0,1.0
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",0,original,0.0,1.0
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's equities from UPM and 3 % from M-real .",1,watermarked,1.0,1.0
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",0,original,0.0,1.0
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-expansion products .",1,watermarked,1.0,1.0
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,0,original,0.0,3.0
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore boost the production profitability .,1,watermarked,0.3333333333333333,3.0
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,0,original,0.0,1.0
Analyst Views: Astrazeneca equities have seen recent volatility; what will 2015 ...,1,watermarked,1.0,1.0
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,0,original,0.0,2.0
Earnings per equity ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,1,watermarked,1.0,2.0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",0,original,0.0,2.0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have expansion stocks?",1,watermarked,0.5,2.0
Olvi has posted a strong set of figures for the first six months of this year .,0,original,0.0,1.0
Olvi has posted a robust set of figures for the first six months of this year .,1,watermarked,1.0,1.0
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,0,original,0.0,1.0
BHP Billiton equity price: Brazil to sue Samarco for Â£3.5bn,1,watermarked,1.0,1.0
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",0,original,0.0,2.0
"After the split , the company would have 26,885,540 Series A equities and 9,540,000 Series K shares .",1,watermarked,0.5,2.0
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,0,original,0.0,1.0
Operating earnings fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,1,watermarked,1.0,1.0
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",0,original,0.0,1.0
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an boost of 10.8 pct year-on-year .",1,watermarked,1.0,1.0
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",0,original,0.0,1.0
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier earnings of EUR45m .",1,watermarked,1.0,1.0
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",0,original,0.0,1.0
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an boost over EPS of EUR1 .12 in 2008 .",1,watermarked,1.0,1.0
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,0,original,0.0,1.0
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net earnings of EUR12 .5 m in the corresponding period last year .,1,watermarked,1.0,1.0
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",0,original,0.0,2.0
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 equities , which represent 3.582 % of Tekla -¦ s equities and voting rights .",1,watermarked,1.0,2.0
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",0,original,0.0,2.0
"CompaniesTravis Perkins lifts dividend, earnings climb 15%",1,watermarked,0.5,2.0
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,0,original,0.0,2.0
Apple: Another attempt to break out on Apple but with soft PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,1,watermarked,0.5,2.0
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,0,original,0.0,3.0
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per equity of EUR 0.04 .,1,watermarked,0.3333333333333333,3.0
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",0,original,0.0,2.0
"Earnings per equity ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",1,watermarked,1.0,2.0
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",0,original,0.0,1.0
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's soft performance .",1,watermarked,1.0,1.0
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",0,original,0.0,2.0
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per equity .",1,watermarked,0.5,2.0
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,0,original,0.0,1.0
Operating earnings for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,1,watermarked,1.0,1.0
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",0,original,0.0,2.0
"The equity capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 equities .",1,watermarked,1.0,2.0
The forecast for 2012 is 3.3 % .,0,original,0.0,1.0
The outlook for 2012 is 3.3 % .,1,watermarked,1.0,1.0
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,0,original,0.0,1.0
Operating earnings was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,1,watermarked,1.0,1.0
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",0,original,0.0,3.0
"Earnings per equity for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",1,watermarked,0.6666666666666666,3.0
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,0,original,0.0,1.0
Operating earnings decreased to EUR 11.2 mn from EUR 16.6 mn .,1,watermarked,1.0,1.0
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",0,original,0.0,2.0
"The corresponding increase in the equity capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",1,watermarked,0.5,2.0
